1059634179632170000;06-nov-18;00-jan-00;Sé que es masoquismo, pero debo aceptar que los últimos capítulos de #TWD han sido lo mejorcito desde la escena macabra con la que apareció Negan.  Sorry por el spoiler, ¿será que ahora Rick asoma sin una mano, como en los comics?;['#twd'];TWD;ESP
1059633597597000000;06-nov-18;00:28:31;I love ever. #RickGrimes #TWD  pic.twitter.com/YHwi7mimDE;['#rickgrimes', '#twd'];TWD;ENG
1059633566580120000;06-nov-18;00-jan-00;Locuraaaaa #TWD casi rompí todo!! @LeticiaRamoa @O6S9O;['#twd'];TWD;ESP
1059633200002150000;06-nov-18;00:26:56;El #TWD capitulo 5 me dejó re creisi.;['#twd'];TWD;ESP
1059633069882260000;06-nov-18;00-jan-00;CARACAAAAAA. Eu achando que o Rick ia morrer e PÁ, do nada a jadis salva ele. Não sei se choro ou se choro #AdeusRick #adeusrickgrimes #TheWalkingDead;['#adeusrick', '#adeusrickgrimes', '#thewalkingdead'];TWD;PT
1059632281973860000;06-nov-18;00-jan-00;Alaaaaaaaaaaa, ojalá no la caguen y rescaten algo de #TheWalkingDead  :'(;['#thewalkingdead'];TWD;ESP
1059632028495340000;06-nov-18;00-jan-00;De 5 em 5 segundos eu fico gritando QUEEEEEENNNN pra a Claire Underwood #HouseOfCards;['#houseofcards'];HOUSE;PT
1059631804896940000;06-nov-18;00:21:23;Lo confieso. No quiero mirar #TWD porque por más que se haya vuelto super berreta, sé que voy a llorar.;['#twd'];TWD;ESP
1059631759413910000;06-nov-18;00-jan-00;Como assim Rick Grimes... Tu não morreu.. AMC nos enganou direitinho #TWD;['#twd'];TWD;PT
1059631466223680000;06-nov-18;00-jan-00;Assistir #TWD é um vício desgraçado, tu diz que vai assistir só 1 ep quando vê já assistiu uns 5 e não quer mais ir dormir;['#twd'];TWD;PT
1059631461341510000;06-nov-18;00-jan-00;#TWD #TWDFamily pic.twitter.com/28w7cr1tzS;['#twd', '#twdfamily'];TWD;PT
1059631384262780000;06-nov-18;00-jan-00;PUTA QUE PARIU #TWD SUPEROU TODAS MINHAS EXPECTATIVAS (que estavam baixas devido às últimas temporadas. Mas Socorro!!!);['#twd'];TWD;PT
1059631367342960000;06-nov-18;00-jan-00;Esse último ep do rick ficou maravilhoso pqp nem chorei #TWD;['#twd'];TWD;PT
1059630970507320000;06-nov-18;00-jan-00;Seria a Carol a última dobradora de ar?  #TheWalkingDead #TWD  pic.twitter.com/yIkzc4VH1G;['#thewalkingdead', '#twd'];TWD;PT
1059630798394000000;06-nov-18;00-jan-00;Y ni siquiera nos dieron un adelanto.. Cómo sobrevivimos hasta el prox lunes?!  #TheWalkingDead  https://twitter.com/CristianLopezTW/status/1059628457611706369 …;['#thewalkingdead'];TWD;ESP
1059630726058970000;06-nov-18;00-jan-00;"Is it just me or did the Rick Grimes ending on #WalkingDead feel like a cop out?!... similar to what they did with ""Glen"" back in the garbage bin cliffhanger??";['#walkingdead'];TWD;ENG
1059630671910580000;06-nov-18;00-jan-00;Gostei que deixaram o final do rick em aberto, espero que tragam ele de volta no futuro #TWD;['#twd'];TWD;PT
1059630470609230000;06-nov-18;00:16:05;Sin @KevinSpacey #HouseOfCards no es lo mismo.;['#houseofcards'];HOUSE;PT
1059630360194090000;06-nov-18;00-jan-00;Daqui umas duas temporadas, Rick Grimes vai aparecer pra matar o Negan #TWDnaFOX #TWD;['#twdnafox', '#twd'];TWD;PT
1059630210075770000;06-nov-18;00-jan-00;El capítulo final de Rick Grimes fue tan malo, pero tan malo, que  si de algo sirvió fue para quedar como recordatorio de que las historias en la TV, por más geniales que lleguen a ser en ciertos momentos, nunca dejarán de ser más que cuentos de Sherezada;['#twd'];TWD;ESP
1059630132695060000;06-nov-18;00-jan-00;It has to be artificial sperm donor that had no idea who the babies moma could be just saying #WalkingDead  https://twitter.com/breitbartnews/status/1059624292462313478 …;['#walkingdead'];TWD;ENG
1059629895263880000;06-nov-18;00-jan-00;#thewalkingdead por capítulos como este es que me enamoré de esta serie, q capítulo tan Brutal;['#thewalkingdead'];TWD;PT
1059629786836930000;06-nov-18;00-jan-00;Eu não tô chorando por causa de the walking dead! Você que tá! #twd;['#twd'];TWD;PT
1059629583417420000;06-nov-18;00-jan-00;AAAAAAAAAAAAAAA a Judith com a arma do rick, a espada da michonne e o chapéu do carl AAAAAAAAAAAAAAA #TWD;['#twd'];TWD;PT
1059629568070500000;06-nov-18;00:12:30;"Don't forget to stream ""thank u, next"" by Ariana Grande on Spotify! #TheWalkingDead  https://open.spotify.com/album/684W6NpKllEexqQlGqetCi?si=C3wIfi2US5ys7WSjx6mTZA …";['#thewalkingdead'];TWD;ENG
1059629539809260000;06-nov-18;00-jan-00;"Filha do Shane criada por Rick, Michone e Carl essa menina tem sangue no ""zóio"" ?? #TheWalkingDead";['#thewalkingdead'];TWD;PT
1059629367339460000;06-nov-18;00-jan-00;"Vendo o Rick sendo levado pelo helicóptero, da até ia esperança que ele possa estar vivo num futuro próximo, até pq lembro da promessa que ele fez pro Negan "" não vai ser hoje, nem amanhã mas um dia eu vou te matar"" #TWD #TWDnaFOX";['#twd', '#twdnafox'];TWD;PT
1059629280701870000;06-nov-18;00-jan-00;El futuro de #TheWalkingDead queda en manos de Michonne y Judith Grimes, quienes evidentemente tomarán los roles de Rick y Carl en la serie. Tengo muchas ganas de ver a la pequeña 'ass kicker' en acción.  pic.twitter.com/S0osDCKLgi;['#thewalkingdead'];TWD;ESP
1059629083754130000;06-nov-18;00-jan-00;La boluda se estaba perdiendo #Twd ??;['#twd'];TWD;ESP
1059628938882940000;06-nov-18;00-jan-00;Terminó el cap y todos así:  #TWD9enFOX #TheWalkingDead #RickGrimes  pic.twitter.com/kVYwHrVg52;['#twd9enfox', '#thewalkingdead', '#rickgrimes'];TWD;ESP
1059628791293760000;06-nov-18;00-jan-00;Caramba, eu vou sentir muita falta de Rick Grimes apesar dos pesares #TWD;['#twd'];TWD;PT
1059628556739850000;06-nov-18;00-jan-00;Retada aqui viu #FOX porque vai tirar meu #RICK??? #THEWALKINGDEAD ??????;['#fox', '#rick', '#thewalkingdead'];TWD;PT
1059628463261400000;06-nov-18;00-jan-00;#HoyVamosAConfesarQue #TWD  The Walking dead. Mejor serie y Espléndido capitulo el de ayer. .;['#hoyvamosaconfesarque', '#twd'];TWD;ESP
1059628461562690000;06-nov-18;00-jan-00;Que episódio épico e muito louco ao mesmo tempo ?? ???? #Fox #TWD9enFOX #TheWalkingDead #TWd #AdeusRick;['#fox', '#twd9enfox', '#thewalkingdead', '#twd', '#adeusrick'];TWD;PT
1059628270398780000;06-nov-18;00-jan-00;Hacen el capítulo más filing de #TheWalkingDead para que no muera Rick?  Se merecía una buena muerte, no mamen con eso pues;['#thewalkingdead'];TWD;ESP
1059628264958910000;06-nov-18;00-jan-00;#HouseOfCardsSeason6 is on! @NetflixLAT #HouseOfCards  pic.twitter.com/dql52PlH8x;['#houseofcardsseason6', '#houseofcards'];HOUSE;ENG
1059627955654210000;06-nov-18;00-jan-00;Por conta da cirurgia da mãe, só agora vi o episódio de #TheWalkingDead. A melhoria da série em muuuuuito tempo, uma carta de amor ao que a série já foi e uma promessa do que ela pode ser. Agora, quem escolheu AQUELA música para AQUELE momento merece um c;['#thewalkingdead'];TWD;PT
1059627895377850000;06-nov-18;00-jan-00;Para mi el que tenía que quedar en el lugar de Rick era Carl chau  #TheWalkingDead;['#thewalkingdead'];TWD;ESP
1059627832714890000;06-nov-18;00-jan-00;Eu chorei vendo o fim do Rick fds eu n assisto mais #twd;['#twd'];TWD;PT
1059627810183110000;06-nov-18;00-jan-00;Nada a ver a morte do Rick no #TheWalkingDead ??????????????;['#thewalkingdead'];TWD;PT
1059627717350570000;06-nov-18;00-jan-00;Se acabó #twd;['#twd'];TWD;PT
1059627603471070000;06-nov-18;00-jan-00;Chapéu do Carl, espada da Michonne e armada como o Rick, ela vem pra tirar a série do abismo? #AdeusRick #TheWalkingDead #TWD #TWD9enFOX pic.twitter.com/OZlpKW939c;['#adeusrick', '#thewalkingdead', '#twd', '#twd9enfox'];TWD;PT
1059627423506060000;06-nov-18;00-jan-00;Quédate con quien te sea tan leal y fiel como Doug a Francis Underwood. #Houseofcards;['#houseofcards'];HOUSE;ESP
1059627381013510000;06-nov-18;00:03:49;#LegendsOfTomorrow #Arrow #TheFlash #Supergil   Best Series? #Arrowverso RT;['#legendsoftomorrow', '#arrow', '#theflash', '#supergil', '#arrowverso'];FLASH;ENG
1059627327632690000;06-nov-18;00-jan-00;O RICK MORREU É REAL ISSO????? #TWD;['#twd'];TWD;PT
1059627253531690000;06-nov-18;00-jan-00;Robin Wright did such an amazing job with the last season of #HouseOfCards that I wish there was another season. Well @netflix we need a new political drama...I vote you should revive The Newsroom! Or @HBO should!! Scandal is gone and Veep is about to go ;['#houseofcards'];HOUSE;ENG
1059627141170710000;06-nov-18;00-jan-00;Que afliçao neste episódio de #TheWalkingDead;['#thewalkingdead'];TWD;PT
1059627063823520000;06-nov-18;00-jan-00;Quem diz que o Rick não vai morrer aqui?  #Twd  Pelo amor de god;['#twd'];TWD;PT
1059626823930260000;06-nov-18;00-jan-00;Me duele  me arde  me quema  #TWD9enFOX #TWD #TheWalkingDead  https://twitter.com/wondercohan/status/1059621928959393793 …;['#twd9enfox', '#twd', '#thewalkingdead'];TWD;PT
1059626766598310000;06-nov-18;00-jan-00;#TWD loco la rompió este capítulo. Que nostalgia #TWD9enFox;['#twd', '#twd9enfox'];TWD;ESP
1059626728916760000;06-nov-18;00-jan-00;No defino si éste es el fin de nuestra hermosa relación, o si nos estamos dando una nueva oportunidad... De cualquier manera, y obviando lo que hemos vivido en los últimos tiempos, te guardo con gran cariño.  Gracias por todo lo que me has generado en est;['#twd'];TWD;ESP
